省份,城市,岗位名称,单位,地点,学历,招聘人数,适合残疾类型,心智障碍可投,联系方式,来源,原链接,发布日期
湖北省,,文员,大冶市康盛科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1854,2026-09-21 10:31:49
湖北省,,财务副总经理,湖北恒新包装股份有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1875,2026-09-21 16:47:52
湖北省,,库管,大冶市康盛科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1852,2026-09-21 10:31:49
湖北省,,行政总监,湖北欧梵铂光电科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1880,2026-09-21 16:54:05
湖北省,,电气质检员,黄石久丰智能机电有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1864,2026-09-21 15:31:23
湖北省,,计划员,大冶市红鑫模具科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1837,2026-09-20 18:00:44
湖北省,,技术副总经理,湖北恒新包装股份有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1870,2026-09-21 16:15:44
湖北省,,财务总监,湖北欧梵铂光电科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1878,2026-09-21 16:54:05
湖北省,,技术员,湖北恒鑫金属表面处理有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1843,2026-09-21 10:04:30
湖北省,,技术储备干部,湖北恒鑫金属表面处理有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1043,2026-07-07 15:35:03
湖北省,,司磅员,大冶市康盛科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1850,2026-09-21 10:31:49
湖北省,,钣金设计工程师,黄石久丰智能机电有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1863,2026-09-21 15:31:23
湖北省,,检验员,大冶市红鑫模具科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1839,2026-09-20 18:00:44
湖北省,,技术副总经理,湖北恒新包装股份有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1869,2026-09-21 16:15:44
湖北省,,钣金设计工程师,黄石久丰智能机电有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1858,2026-09-21 14:48:32
湖北省,,朝九晚六AI训练师,湖北省京标科技数字有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1026,2026-07-07 14:13:02
湖北省,,技术总监 ,湖北欧梵铂光电科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1879,2026-09-21 16:54:05
湖北省,,一次铜排制作工,黄石久丰智能机电有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1862,2026-09-21 15:31:23
湖北省,,设备管理员,黄石华新铸业有限公司耐磨材料厂,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1891,2026-09-23 14:37:53
湖北省,,外贸销售员,大冶市红鑫模具科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1836,2026-09-20 18:00:44
湖北省,,生产副总经理,湖北恒新包装股份有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1877,2026-09-21 16:47:52
湖北省,,高级电工,黄石华新铸业有限公司耐磨材料厂,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1890,2026-09-23 14:37:53
湖北省,,电气质检员,黄石久丰智能机电有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1859,2026-09-21 14:48:32
湖北省,,生产管理,湖北恒鑫金属表面处理有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1844,2026-09-21 10:04:31
湖北省,,技术副总经理,湖北恒新包装股份有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1876,2026-09-21 16:47:52
湖北省,,设备管理,大冶市红鑫模具科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1838,2026-09-20 18:00:44
湖北省,,铸造技术员,黄石华新铸业有限公司耐磨材料厂,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1889,2026-09-23 14:37:53
湖北省,,技术副总经理,湖北恒新包装股份有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1866,2026-09-21 15:53:35
湖北省,,质检员,大冶市康盛科技有限公司,湖北省,,,,,见原平台,湖北省残疾人求职招聘信息平台,https://www.hbcjrjy.cn/jobDetail/1853,2026-09-21 10:31:49
